filename,color_1_hex,color_1_rgb,color_2_hex,color_2_rgb,color_3_hex,color_3_rgb,color_4_hex,color_4_rgb,color_5_hex,color_5_rgb
View at Rouelles_ Le Havre_1858.jpg,#e4e8f1,"(228, 232, 241)",#181f10,"(24, 31, 16)",#545832,"(84, 88, 50)",#b9bddc,"(185, 189, 220)",#878777,"(135, 135, 119)"
Landscape with Factories_1858_61.jpg,#ebe7da,"(235, 231, 218)",#2e302b,"(46, 48, 43)",#dfceb0,"(223, 206, 176)",#786b51,"(120, 107, 81)",#bdceda,"(189, 206, 218)"
Landscape with Factories_1858_61.png,#322722,"(50, 39, 34)",#584831,"(88, 72, 49)",#a6a18b,"(166, 161, 139)",#cac1a6,"(202, 193, 166)",#877665,"(135, 118, 101)"
Corner of a Studio_1861.jpg,#534044,"(83, 64, 68)",#211c27,"(33, 28, 39)",#867b6a,"(134, 123, 106)",#dcc388,"(220, 195, 136)",#b04542,"(176, 69, 66)"
Still Life with Meat_1862_63.jpg,#150808,"(21, 8, 8)",#9e3a17,"(158, 58, 23)",#bf6724,"(191, 103, 36)",#621a11,"(98, 26, 17)",#ebaa4f,"(235, 170, 79)"
Seashore at Sainte-Adresse_1864.jpg,#877f74,"(135, 127, 116)",#766d60,"(118, 109, 96)",#aba38f,"(171, 163, 143)",#4a432c,"(74, 67, 44)",#120f0c,"(18, 15, 12)"
Road by Saint-Siméon Farm_1864.jpg,#141b12,"(20, 27, 18)",#323720,"(50, 55, 32)",#545434,"(84, 84, 52)",#848158,"(132, 129, 88)",#aaa580,"(170, 165, 128)"
Le Lieutenance at Honfleur_1864.jpg,#1e1c1c,"(30, 28, 28)",#a9a2b7,"(169, 162, 183)",#847d7a,"(132, 125, 122)",#4e4944,"(78, 73, 68)",#e0dae0,"(224, 218, 224)"
Le Rue de la Bavole at Honfleur_1864.jpg,#38372c,"(56, 55, 44)",#88a5c1,"(136, 165, 193)",#19170f,"(25, 23, 15)",#6b6649,"(107, 102, 73)",#989873,"(152, 152, 115)"
Farm near Honfleur_1864.jpg,#e3cfc2,"(227, 207, 194)",#776231,"(119, 98, 49)",#5f3f27,"(95, 63, 39)",#371a12,"(55, 26, 18)",#977551,"(151, 117, 81)"
La Pointe de la Hève_ Honfleur_1864.jpg,#b7b5ac,"(183, 181, 172)",#a4a39c,"(164, 163, 156)",#d6d4c6,"(214, 212, 198)",#87795c,"(135, 121, 92)",#625536,"(98, 85, 54)"
Dr. Leclenché_1864.jpg,#523723,"(82, 55, 35)",#73542d,"(115, 84, 45)",#39291e,"(57, 41, 30)",#150f11,"(21, 15, 17)",#b39062,"(179, 144, 98)"
Haystacks at Chailly at Sunrise_1865.jpg,#9fc1e4,"(159, 193, 228)",#ba9c53,"(186, 156, 83)",#dfc783,"(223, 199, 131)",#7d6440,"(125, 100, 64)",#332824,"(51, 40, 36)"
Le Déjeuner sur l_herbe - left panel_1865_66.jpg,#121610,"(18, 22, 16)",#3a3f26,"(58, 63, 38)",#755a3b,"(117, 90, 59)",#918660,"(145, 134, 96)",#b6b091,"(182, 176, 145)"
Le Déjeuner sur l_herbe - right panel_1865_66.jpg,#262313,"(38, 35, 19)",#4d4e29,"(77, 78, 41)",#75764d,"(117, 118, 77)",#a09e92,"(160, 158, 146)",#d5d2d4,"(213, 210, 212)"
Adolphe Monet in the Garden of Le Coteau at Sainte-Adresse_1867.jpg,#655333,"(101, 83, 51)",#3b3315,"(59, 51, 21)",#998854,"(153, 136, 84)",#d7b38c,"(215, 179, 140)",#e5dbd5,"(229, 219, 213)"
Fishing Boats_1866.jpg,#1e1e27,"(30, 30, 39)",#56473d,"(86, 71, 61)",#88725a,"(136, 114, 90)",#e0d9bf,"(224, 217, 191)",#b7ab89,"(183, 171, 137)"
Port of Honfleur_1867.png,#e1dfe2,"(225, 223, 226)",#5d5859,"(93, 88, 89)",#7c787a,"(124, 120, 122)",#9d999b,"(157, 153, 155)",#bfbcbf,"(191, 188, 191)"
The Road to the Farm of Saint-Simeon in Winter_1867.jpg,#d1d6ce,"(209, 214, 206)",#b4bab5,"(180, 186, 181)",#2c2a1e,"(44, 42, 30)",#888980,"(136, 137, 128)",#585549,"(88, 85, 73)"
The Snowy Road at Honfleur_1867.png,#dad8db,"(218, 216, 219)",#bfbec2,"(191, 190, 194)",#464246,"(70, 66, 70)",#6a676b,"(106, 103, 107)",#979497,"(151, 148, 151)"
L_Entrée du port de Le Havre_1867.JPG,#898889,"(137, 136, 137)",#70736f,"(112, 115, 111)",#a1a0a2,"(161, 160, 162)",#555250,"(85, 82, 80)",#deddd7,"(222, 221, 215)"
Taking a Walk on the Cliffs of Sainte-Adresse_1867.JPG,#7b6c3a,"(123, 108, 58)",#443f25,"(68, 63, 37)",#a5a9a9,"(165, 169, 169)",#82888c,"(130, 136, 140)",#caccc5,"(202, 204, 197)"
Garden at Sainte-Adresse_1867.jpg,#727e96,"(114, 126, 150)",#2d2e25,"(45, 46, 37)",#665c3b,"(102, 92, 59)",#9da1a3,"(157, 161, 163)",#3d5361,"(61, 83, 97)"
Street in Sainte-Adresse_1867.jpg,#969692,"(150, 150, 146)",#443e22,"(68, 62, 34)",#605943,"(96, 89, 67)",#867c63,"(134, 124, 99)",#bcb9af,"(188, 185, 175)"
The Huts at Sainte-Adresse_1868.png,#e2d1bb,"(226, 209, 187)",#452420,"(69, 36, 32)",#7a4128,"(122, 65, 40)",#a36740,"(163, 103, 64)",#d3b597,"(211, 181, 151)"
Fishing Boats_ Calm Sea_1868.jpg,#b1d6d4,"(177, 214, 212)",#505c5a,"(80, 92, 90)",#94b4b8,"(148, 180, 184)",#688383,"(104, 131, 131)",#42302b,"(66, 48, 43)"
Interior_ after Dinner_1868_69.jpg,#352e28,"(53, 46, 40)",#29221d,"(41, 34, 29)",#554535,"(85, 69, 53)",#886d44,"(136, 109, 68)",#cebc87,"(206, 188, 135)"
The Luncheon_1868.jpg,#100d0c,"(16, 13, 12)",#3d3120,"(61, 49, 32)",#565650,"(86, 86, 80)",#8f938c,"(143, 147, 140)",#d8dddb,"(216, 221, 219)"
The Landing Stage_1869.jpg,#e3e2cb,"(227, 226, 203)",#111508,"(17, 21, 8)",#3e421e,"(62, 66, 30)",#777249,"(119, 114, 73)",#a9a68a,"(169, 166, 138)"
Pheasant_1869.jpeg,#260d0d,"(38, 13, 13)",#e1d7da,"(225, 215, 218)",#533427,"(83, 52, 39)",#baadad,"(186, 173, 173)",#8f6e5b,"(143, 110, 91)"
Boar_s Head_1869.jpg,#ecebae,"(236, 235, 174)",#c6c58b,"(198, 197, 139)",#24200b,"(36, 32, 11)",#57552d,"(87, 85, 45)",#8a8652,"(138, 134, 82)"
Road to Louveciennes_ Snow Effect_1869.jpg,#b5c0c4,"(181, 192, 196)",#e5e5dd,"(229, 229, 221)",#939488,"(147, 148, 136)",#5a5b52,"(90, 91, 82)",#1e1e1b,"(30, 30, 27)"
The Seine at Bougival_ Evening_1870.jpg,#2a2819,"(42, 40, 25)",#635c50,"(99, 92, 80)",#9d866d,"(157, 134, 109)",#cab690,"(202, 182, 144)",#f9f9f7,"(249, 249, 247)"
Entrance to the Port of Trouville_1870.jpg,#dadce0,"(218, 220, 224)",#bbbcb9,"(187, 188, 185)",#a69b87,"(166, 155, 135)",#313831,"(49, 56, 49)",#736b59,"(115, 107, 89)"
The Beach at Trouville_1870.jpg,#9d9ea5,"(157, 158, 165)",#bab3ab,"(186, 179, 171)",#86847d,"(134, 132, 125)",#5e5d54,"(94, 93, 84)",#34352a,"(52, 53, 42)"
The Boardwalk on the Beach at Trouville_1870.jpg,#829cc1,"(130, 156, 193)",#b1b3b1,"(177, 179, 177)",#d1cec0,"(209, 206, 192)",#8b7e6b,"(139, 126, 107)",#414949,"(65, 73, 73)"
